timestamp, low_ask, low_bid, high_ask, high_bid
2019-08-16T19:00:00,2884.44,2884.84,2893.69,2894.09
2019-08-18T21:00:00,2894.17,2894.77,2905.54,2906.14
2019-08-18T23:00:00,2899.67,2900.27,2905.92,2906.52
2019-08-19T01:00:00,2901.92,2902.52,2905.67,2906.27
2019-08-19T03:00:00,2904.42,2905.02,2905.67,2906.27
2019-08-19T05:00:00,2905.17,2905.77,2916.67,2917.27
2019-08-19T07:00:00,2909.67,2910.27,2919.67,2920.27
2019-08-19T09:00:00,2910.17,2910.77,2921.92,2922.52
2019-08-19T11:00:00,2916.67,2917.27,2927.17,2927.77
2019-08-19T13:00:00,2914.59,2914.99,2924.77,2925.17
2019-08-19T15:00:00,2921.09,2921.49,2927.34,2927.74
2019-08-19T17:00:00,2924.29,2924.69,2931.04,2931.44
2019-08-19T19:00:00,2919.61,2920.21,2929.31,2929.71
2019-08-19T21:00:00,2918.24,2918.84,2921.74,2922.34
2019-08-19T23:00:00,2914.86,2915.46,2921.49,2922.09
2019-08-20T01:00:00,2914.74,2915.34,2925.24,2925.84
2019-08-20T03:00:00,2923.24,2923.84,2926.99,2927.59
2019-08-20T05:00:00,2923.74,2924.34,2930.99,2931.59
2019-08-20T07:00:00,2922.49,2923.09,2929.49,2930.09
2019-08-20T09:00:00,2921.24,2921.84,2927.24,2927.84
2019-08-20T11:00:00,2918.99,2919.59,2927.74,2928.34
2019-08-20T13:00:00,2903.09,2903.49,2921.99,2922.59
2019-08-20T15:00:00,2913.34,2913.74,2923.09,2923.49
2019-08-20T17:00:00,2903.09,2903.49,2918.09,2918.49
2019-08-20T19:00:00,2893.03,2893.63,2909.34,2909.74
2019-08-20T21:00:00,2892.03,2892.63,2898.41,2899.01
2019-08-20T23:00:00,2895.41,2896.01,2902.66,2903.26
2019-08-21T01:00:00,2900.16,2900.76,2905.66,2906.26
2019-08-21T03:00:00,2903.16,2903.76,2905.66,2906.26
2019-08-21T05:00:00,2903.91,2904.51,2907.16,2907.76
2019-08-21T07:00:00,2906.16,2906.76,2918.91,2919.51
2019-08-21T09:00:00,2915.66,2916.26,2919.53,2920.13
2019-08-21T11:00:00,2915.66,2916.26,2923.16,2923.76
2019-08-21T13:00:00,2919.75,2920.15,2928.26,2928.66
2019-08-21T15:00:00,2920.75,2921.15,2928.5,2928.9
2019-08-21T17:00:00,2917.48,2917.88,2927.25,2927.65
2019-08-21T19:00:00,2918.48,2918.88,2931.37,2932.15
2019-08-21T21:00:00,2929.62,2930.22,2937.62,2938.22
2019-08-21T23:00:00,2929.5,2930.1,2936.25,2936.85
2019-08-22T01:00:00,2925.0,2925.6,2933.5,2934.1
2019-08-22T03:00:00,2924.0,2924.6,2927.25,2927.85
2019-08-22T05:00:00,2921.5,2922.1,2927.25,2927.85
2019-08-22T07:00:00,2921.5,2922.1,2934.25,2934.85
2019-08-22T09:00:00,2917.5,2918.1,2925.5,2926.1
2019-08-22T11:00:00,2922.5,2923.1,2936.25,2936.85
2019-08-22T13:00:00,2903.89,2904.29,2938.6,2939.0
2019-08-22T15:00:00,2905.39,2905.79,2923.2,2923.6
2019-08-22T17:00:00,2920.07,2920.47,2929.45,2929.85
2019-08-22T19:00:00,2919.25,2919.85,2932.37,2932.77
2019-08-22T21:00:00,2919.15,2920.1,2923.38,2923.98
2019-08-22T23:00:00,2918.13,2918.73,2927.63,2928.23
2019-08-23T01:00:00,2925.13,2925.73,2932.38,2932.98
2019-08-23T03:00:00,2930.38,2930.98,2933.13,2933.73
2019-08-23T05:00:00,2930.88,2931.48,2936.13,2936.73
2019-08-23T07:00:00,2930.25,2930.85,2935.88,2936.48
2019-08-23T09:00:00,2926.63,2927.23,2934.88,2935.48
2019-08-23T11:00:00,2902.13,2902.73,2933.38,2933.98
2019-08-23T13:00:00,2900.73,2901.13,2927.7,2928.1
2019-08-23T15:00:00,2863.45,2863.85,2920.7,2921.1
2019-08-23T17:00:00,2853.44,2853.84,2869.45,2869.85
2019-08-23T19:00:00,2834.46,2834.86,2862.69,2863.09
